fromTid,toTid
tt0064116,tt0044953
tt0064116,tt0059578
tt0064116,tt0060315
tt0064116,tt0043137
tt0064116,tt0047136
tt0064116,tt0040369
tt0066921,tt0117951
tt0066921,tt0053198
tt0066921,tt0120586
tt0066921,tt0317248
tt0066921,tt0307901
tt0066921,tt0087843
tt0066921,tt0064276
tt0066921,tt0072890
tt0066921,tt0243133
tt0066921,tt0070379
tt0066921,tt1235166
tt0066921,tt0113247
tt0068646,tt0086250
tt0068646,tt0119396
tt0068646,tt0110413
tt0068646,tt0119008
tt0068646,tt0100150
tt0068646,tt0106519
tt0068646,tt0840361
tt0068646,tt0139654
tt0068646,tt0113277
tt0068646,tt0071562
tt0068646,tt0099685
tt0068646,tt1392214
tt0070735,tt0070510
tt0070735,tt0090967
tt0070735,tt0283003
tt0070735,tt0110955
tt0070735,tt0039631
tt0070735,tt0418455
tt0070735,tt0041546
tt0070735,tt0325805
tt0070735,tt0307987
tt0070735,tt0085794
tt0070735,tt0091983
tt0070735,tt0097940
tt0071315,tt0209144
tt0071315,tt0327056
tt0071315,tt0062229
tt0071315,tt0452623
tt0071315,tt0117381
tt0071315,tt0278504
tt0071315,tt0465538
tt0071315,tt0095647
tt0071315,tt0119488
tt0071315,tt0765443
tt0071315,tt0091605
tt0071315,tt0114369
tt0071562,tt0086250
tt0071562,tt0119396
tt0071562,tt0110413
tt0071562,tt0119008
tt0071562,tt0106519
tt0071562,tt0840361
tt0071562,tt0139654
tt0071562,tt0113277
tt0071562,tt0099685
tt0071562,tt0068646
tt0071562,tt0100150
tt0071562,tt1392214
tt0071853,tt0250687
tt0071853,tt0117119
tt0071853,tt1167660
tt0071853,tt0366551
tt0071853,tt0215129
tt0071853,tt1045778
tt0071853,tt0090555
tt0071853,tt0356150
tt0071853,tt0062782
tt0071853,tt1622547
tt0071853,tt0098627
tt0071853,tt0114694
tt0072684,tt0118799
tt0072684,tt0086617
tt0072684,tt0052893
tt0072684,tt0052600
tt0072684,tt0036868
tt0072684,tt0059113
tt0072684,tt0034583
tt0072684,tt0116209
tt0072684,tt0159365
tt0072684,tt0076085
tt0072684,tt0036112
tt0072684,tt0050634
tt0072890,tt0117951
tt0072890,tt0101507
tt0072890,tt0087843
tt0072890,tt0317248
tt0072890,tt0307901
tt0072890,tt0061512
tt0072890,tt1235166
tt0072890,tt0106489
tt0072890,tt0070379
tt0072890,tt0765429
tt0072890,tt0993846
tt0072890,tt0113247
tt0073195,tt0258000
tt0073195,tt2053463
tt0073195,tt1219289
tt0073195,tt0100157
tt0073195,tt1457767
tt0073195,tt0077766
tt0073195,tt1615147
tt0073195,tt1524137
tt0073195,tt1614989
tt0073195,tt0421239
tt0073195,tt1340800
tt0073195,tt1568338
